time,gFx,gFy,gFz,TgF
0.874834063,0.0295,0.5496,0.1677,0.575
0.876587917,0.0418,0.5496,0.1878,0.582
0.881351771,0.0461,0.5345,0.2063,0.575
0.88162849,0.0505,0.5252,0.2302,0.576
0.884024583,0.0515,0.5242,0.2371,0.578
0.886962448,0.0525,0.5198,0.2454,0.577
0.889413229,0.0315,0.5667,0.2655,0.627
0.891699323,-0.0057,0.6268,0.2410,0.672
0.894011563,0.0046,0.6200,0.1511,0.638
0.896447083,-0.0223,0.6522,0.1819,0.677
0.900338073,-0.0203,0.6820,0.2542,0.728
0.902034531,-0.0189,0.6879,0.3221,0.760
0.904552448,-0.0179,0.6889,0.3774,0.786
0.906884531,-0.0213,0.7124,0.4321,0.833
0.909491406,-0.0154,0.7031,0.4662,0.844
0.91180875,-0.0101,0.6962,0.4995,0.857
0.914191094,-0.0003,0.6825,0.5185,0.857
0.917350104,0.0154,0.6625,0.5308,0.849
0.919329323,0.0203,0.6376,0.5308,0.830
0.921797292,0.0291,0.6088,0.5190,0.801
0.925196875,0.0432,0.5941,0.5034,0.780
0.9260875,0.0574,0.5755,0.4868,0.756
0.929263021,0.0628,0.5628,0.4594,0.729
0.931486563,0.0608,0.5345,0.4364,0.693
0.942173802,0.0579,0.5291,0.4111,0.673
0.943229844,0.0520,0.5291,0.3988,0.665
0.943592969,0.0447,0.5135,0.3778,0.639
0.94395,0.0383,0.5120,0.3612,0.628
0.944297083,0.0315,0.4925,0.3460,0.603
0.94867276,0.0237,0.4661,0.3446,0.580
0.96732026,0.0193,0.4529,0.3304,0.561
0.967968437,0.0149,0.4397,0.3158,0.542
0.968222812,0.0115,0.4206,0.3050,0.520
0.968418281,0.0032,0.4123,0.3075,0.514
0.968608437,-0.0018,0.4050,0.3026,0.506
0.968788073,0.0071,0.4133,0.2948,0.508
0.969113125,0.0037,0.4363,0.3016,0.530
0.969282656,-0.0203,0.4817,0.2914,0.563
0.969391823,-0.0457,0.5232,0.2821,0.596
0.971541979,-0.0687,0.5691,0.2473,0.624
0.973452656,-0.0999,0.6166,0.2268,0.665
0.976191094,-0.1327,0.6669,0.1853,0.705
0.978484167,-0.1566,0.7197,0.1677,0.755
0.980804844,-0.1674,0.7675,0.1574,0.801
0.983606771,-0.1879,0.8194,0.1462,0.853
0.98644901,-0.1962,0.8501,0.1663,0.888
0.989720729,-0.2069,0.8819,0.1951,0.927
0.991214323,-0.2187,0.8936,0.2166,0.945
0.993488594,-0.2050,0.9190,0.2581,0.976
0.995762552,-0.1874,0.9225,0.2791,0.982
1.000720937,-0.1664,0.9229,0.3163,0.990
1.001614531,-0.1259,0.9166,0.3504,0.989
1.00526151,-0.1029,0.9137,0.3710,0.991
1.007546458,-0.0750,0.8946,0.3959,0.981
1.00977,-0.0511,0.8897,0.4106,0.981
1.012334323,-0.0311,0.8633,0.4135,0.958
1.014121562,-0.0237,0.8496,0.4101,0.944
1.01816276,-0.0120,0.8408,0.4106,0.936
1.019771823,0.0007,0.8301,0.3944,0.919
1.022300208,0.0110,0.8242,0.3759,0.906
1.024181979,0.0061,0.8257,0.3089,0.882
